nome,slug,codigo_ibge,estado,regiao,populacao,descricao,economia
"Abatiá","abatia","","PR","","","",""
"Adrianópolis","adrianopolis","","PR","","","",""
"Agudos do Sul","agudos-do-sul","","PR","","","",""
"Almirante Tamandaré","almirante-tamandare","","PR","","","",""
"Altamira do Paraná","altamira-do-parana","","PR","","","",""
"Altônia","altonia","","PR","","","",""
"Alto Paraná","alto-parana","","PR","","","",""
"Alto Piquiri","alto-piquiri","","PR","","","",""
"Alvorada do Sul","alvorada-do-sul","","PR","","","",""
"Amaporã","amapora","","PR","","","",""
"Ampére","ampere","","PR","","","",""
"Anahy","anahy","","PR","","","",""
"Andirá","andira","","PR","","","",""
"Ângulo","angulo","","PR","","","",""
"Antonina","antonina","","PR","","","",""
"Antônio Olinto","antonio-olinto","","PR","","","",""
"Apucarana","apucarana","","PR","","","",""
"Arapongas","arapongas","","PR","","","",""
"Arapoti","arapoti","","PR","","","",""
"Arapuã","arapua","","PR","","","",""
"Araruna","araruna","","PR","","","",""
"Araucária","araucaria","","PR","","","",""
"Ariranha do Ivaí","ariranha-do-ivai","","PR","","","",""
"Assaí","assai","","PR","","","",""
"Assis Chateaubriand","assis-chateaubriand","","PR","","","",""
"Astorga","astorga","","PR","","","",""
"Atalaia","atalaia","","PR","","","",""
"Balsa Nova","balsa-nova","","PR","","","",""
"Bandeirantes","bandeirantes","","PR","","","",""
"Barbosa Ferraz","barbosa-ferraz","","PR","","","",""
"Barracão","barracao","","PR","","","",""
"Barra do Jacaré","barra-do-jacare","","PR","","","",""
"Bela Vista da Caroba","bela-vista-da-caroba","","PR","","","",""
"Bela Vista do Paraíso","bela-vista-do-paraiso","","PR","","","",""
"Bituruna","bituruna","","PR","","","",""
"Boa Esperança","boa-esperanca","","PR","","","",""
"Boa Esperança do Iguaçu","boa-esperanca-do-iguacu","","PR","","","",""
"Boa Ventura de São Roque","boa-ventura-de-sao-roque","","PR","","","",""
"Boa Vista da Aparecida","boa-vista-da-aparecida","","PR","","","",""
"Bocaiúva do Sul","bocaiuva-do-sul","","PR","","","",""
"Bom Jesus do Sul","bom-jesus-do-sul","","PR","","","",""
"Bom Sucesso","bom-sucesso","","PR","","","",""
"Bom Sucesso do Sul","bom-sucesso-do-sul","","PR","","","",""
"Borrazópolis","borrazopolis","","PR","","","",""
"Braganey","braganey","","PR","","","",""
"Brasilândia do Sul","brasilandia-do-sul","","PR","","","",""
"Cafeara","cafeara","","PR","","","",""
"Cafelândia","cafelandia","","PR","","","",""
"Cafezal do Sul","cafezal-do-sul","","PR","","","",""
"Califórnia","california","","PR","","","",""
"Cambará","cambara","","PR","","","",""
"Cambé","cambe","","PR","","","",""
"Cambira","cambira","","PR","","","",""
"Campina da Lagoa","campina-da-lagoa","","PR","","","",""
"Campina do Simão","campina-do-simao","","PR","","","",""
"Campina Grande do Sul","campina-grande-do-sul","","PR","","","",""
"Campo Bonito","campo-bonito","","PR","","","",""
"Campo do Tenente","campo-do-tenente","","PR","","","",""
"Campo Largo","campo-largo","","PR","","","",""
"Campo Magro","campo-magro","","PR","","","",""
"Campo Mourão","campo-mourao","","PR","","","",""
"Cândido de Abreu","candido-de-abreu","","PR","","","",""
"Candói","candoi","","PR","","","",""
"Cantagalo","cantagalo","","PR","","","",""
"Capanema","capanema","","PR","","","",""
"Capitão Leônidas Marques","capitao-leonidas-marques","","PR","","","",""
"Carambeí","carambei","","PR","","","",""
"Carlópolis","carlopolis","","PR","","","",""
"Cascavel","cascavel","","PR","","","",""
"Castro","castro","","PR","","","",""
"Catanduvas","catanduvas","","PR","","","",""
"Centenário do Sul","centenario-do-sul","","PR","","","",""
"Cerro Azul","cerro-azul","","PR","","","",""
"Céu Azul","ceu-azul","","PR","","","",""
"Chopinzinho","chopinzinho","","PR","","","",""
"Cianorte","cianorte","","PR","","","",""
"Cidade Gaúcha","cidade-gaucha","","PR","","","",""
"Clevelândia","clevelandia","","PR","","","",""
"Colombo","colombo","","PR","","","",""
"Colorado","colorado","","PR","","","",""
"Congonhinhas","congonhinhas","","PR","","","",""
"Conselheiro Mairinck","conselheiro-mairinck","","PR","","","",""
"Contenda","contenda","","PR","","","",""
"Corbélia","corbelia","","PR","","","",""
"Cornélio Procópio","cornelio-procopio","","PR","","","",""
"Coronel Domingos Soares","coronel-domingos-soares","","PR","","","",""
"Coronel Vivida","coronel-vivida","","PR","","","",""
"Corumbataí do Sul","corumbatai-do-sul","","PR","","","",""
"Cruzeiro do Iguaçu","cruzeiro-do-iguacu","","PR","","","",""
"Cruzeiro do Oeste","cruzeiro-do-oeste","","PR","","","",""
"Cruzeiro do Sul","cruzeiro-do-sul","","PR","","","",""
"Cruz Machado","cruz-machado","","PR","","","",""
"Cruzmaltina","cruzmaltina","","PR","","","",""
"Curitiba","curitiba","","PR","","","",""
"Curiúva","curiuva","","PR","","","",""
"Diamante do Norte","diamante-do-norte","","PR","","","",""
"Diamante do Sul","diamante-do-sul","","PR","","","",""
"Diamante D'Oeste","diamante-d-oeste","","PR","","","",""
"Dois Vizinhos","dois-vizinhos","","PR","","","",""
"Douradina","douradina","","PR","","","",""
"Doutor Camargo","doutor-camargo","","PR","","","",""
"Enéas Marques","eneas-marques","","PR","","","",""
"Engenheiro Beltrão","engenheiro-beltrao","","PR","","","",""
"Esperança Nova","esperanca-nova","","PR","","","",""
